,0,6,12,24,36,48
10m_u_component_of_wind,-0.1580810938451249,-0.1749996738795517,-0.2072562355472781,-0.1534303642284051,-0.171411102084674,-0.1247338471942056
10m_v_component_of_wind,0.2865264219535732,0.3230589820599723,0.310898913912718,0.2996638814978738,0.2761007706264224,0.2820114184508612
10m_wind_speed,0.6220139061967519,0.5992565825707161,0.502096858661809,0.4697381855477238,0.3617549811100602,0.3717102071629451
2m_dewpoint_temperature,0.0,0.0,0.0,0.0,0.0,0.0
2m_temperature,-0.2746614862461465,-0.3008249214823825,-0.3620142885572828,-0.2771320522666093,-0.367052886161084,-0.2810163005982689
above_ground,,,,,,
ageostrophic_wind_speed,,,,,,
angle_of_sub_gridscale_orography,0.0481399572425275,0.0481399572425275,0.0481399572425275,0.0481399572425275,0.0481399572425275,0.0481399572425275
anisotropy_of_sub_gridscale_orography,-0.0649700336527154,-0.0649700336527154,-0.0649700336527154,-0.0649700336527154,-0.0649700336527154,-0.0649700336527154
boundary_layer_height,0.3873123766573751,0.4005405674446748,0.0840889315979954,0.3068606127805773,0.0172099542378982,0.2590428894810869
divergence,,,,,,
eddy_kinetic_energy,0.2684464119307032,0.2573824127312027,0.2366797518325258,0.1880185565499363,0.1524889395849924,0.1157005993108279
geopotential,,,,,,
geopotential_at_surface,,,,,,
geostrophic_wind_speed,,,,,,
high_vegetation_cover,,,,,,
integrated_vapor_transport,,,,,,
lake_cover,,,,,,
lapse_rate,,,,,,
leaf_area_index_high_vegetation,,,,,,
leaf_area_index_low_vegetation,,,,,,
low_vegetation_cover,,,,,,
mean_sea_level_pressure,,,,,,
mean_surface_latent_heat_flux,,,,,,
mean_surface_net_long_wave_radiation_flux,,,,,,
mean_surface_net_short_wave_radiation_flux,,,,,,
mean_surface_sensible_heat_flux,,,,,,
mean_top_downward_short_wave_radiation_flux,,,,,,
mean_top_net_long_wave_radiation_flux,,,,,,
mean_top_net_short_wave_radiation_flux,,,,,,
mean_vertically_integrated_moisture_divergence,,,,,,
potential_vorticity,,,,,,
relative_humidity,,,,,,
sea_ice_cover,,,,,,
sea_surface_temperature,,,,,,
slope_of_sub_gridscale_orography,,,,,,
snow_depth,,,,,,
soil_type,,,,,,
specific_humidity,,,,,,
standard_deviation_of_filtered_subgrid_orography,,,,,,
standard_deviation_of_orography,,,,,,
surface_pressure,,,,,,
temperature,,,,,,
total_cloud_cover,,,,,,
total_column_vapor,,,,,,
total_column_water,,,,,,
total_column_water_vapour,-0.1907340195781744,-0.1878760894971388,-0.1881676309025859,-0.1981372463415415,-0.2102239217485209,-0.2167071898871459
total_precipitation_12hr,0.9552417395936142,0.7691045995583495,0.6670092593018022,0.6122032140679882,0.4235552883806083,0.4412341509434109
total_precipitation_24hr,0.8636395722703505,0.7698388227669568,0.6817011277931483,0.552870549099076,0.4616278345094775,0.4005015263659987
type_of_high_vegetation,-0.1457884409887338,-0.1457884409887338,-0.1457884409887338,-0.1457884409887338,-0.1457884409887338,-0.1457884409887338
type_of_low_vegetation,-0.0913637850664022,-0.0913637850664022,-0.0913637850664022,-0.0913637850664022,-0.0913637850664022,-0.0913637850664022
u_component_of_wind,,,,,,
v_component_of_wind,,,,,,
vertical_velocity,,,,,,
volumetric_soil_water_layer_1,0.3973875791598497,0.3852648825392322,0.3753752957256002,0.3477357389568383,0.3337556421208424,0.3114987327130624
volumetric_soil_water_layer_2,0.2986103252260417,0.2897428258308323,0.2825869815285572,0.2583115718303536,0.2501386514990724,0.2301664503561583
volumetric_soil_water_layer_3,0.1479297506262855,0.1467916847938636,0.1448530779931424,0.1292146729541095,0.1292138788925534,0.11592809070148
volumetric_soil_water_layer_4,-0.2496399876321883,-0.2504109318855056,-0.2516245168909,-0.2556818237903628,-0.2587123794023184,-0.2632264963826766
vorticity,,,,,,
wind_speed,,,,,,
above_ground_50,0.0,0.0,0.0,0.0,0.0,0.0
above_ground_100,0.0,0.0,0.0,0.0,0.0,0.0
above_ground_150,0.0,0.0,0.0,0.0,0.0,0.0
above_ground_200,0.0,0.0,0.0,0.0,0.0,0.0
above_ground_250,0.0,0.0,0.0,0.0,0.0,0.0
above_ground_300,0.0,0.0,0.0,0.0,0.0,0.0
above_ground_400,0.0,0.0,0.0,0.0,0.0,0.0
above_ground_500,0.0,0.0,0.0,0.0,0.0,0.0
above_ground_600,0.0,0.0,0.0,0.0,0.0,0.0
above_ground_700,0.0,0.0,0.0,0.0,0.0,0.0
above_ground_850,-0.2858283627323785,-0.2636220521550745,-0.2343000111618567,-0.2187131819270883,-0.1686321781809907,-0.1654486390937138
above_ground_925,-0.4639856236195067,-0.408440000402476,-0.3783216182864953,-0.3521055172626743,-0.2739170574994898,-0.2503819367009698
above_ground_1000,-0.5582039340506209,-0.5302179141422183,-0.4970641324741296,-0.4388490721301095,-0.3771373508744972,-0.340658354433354
geopotential_50,-0.3487048073019523,-0.3541028126889555,-0.3551079328616879,-0.3488309863469028,-0.3543064154685653,-0.3463552172704652
geopotential_100,-0.3293880552335327,-0.3351823130095906,-0.3363960055497484,-0.3319991217320556,-0.3362477520731708,-0.3277029253612488
geopotential_150,-0.3065770023139587,-0.3138916314739366,-0.316426538343759,-0.3115488534982465,-0.3177508040840791,-0.3068119740456198
geopotential_200,-0.2985340410988421,-0.3062115792100497,-0.3087424550511448,-0.3031306525131089,-0.3109194539741032,-0.2980546060790247
geopotential_250,-0.2996867339694091,-0.307046751925263,-0.3092292452820742,-0.3028032884813552,-0.3106861856990342,-0.2961875006717895
